
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,TD,Pts
1,2015,1,2015-09-13,22-234,GNB,@,CHI,W 31-23,0,0,0,,0,0,0,,0,3,106,35.33,0,0,0
2,2015,2,2015-09-20,22-241,GNB,,SEA,W 27-17,4,4,37,9.25,0,0,0,,0,1,19,19.00,0,0,0
3,2015,3,2015-09-28,22-249,GNB,,KAN,W 38-28,2,2,14,7.00,1,0,0,,0,2,64,32.00,0,1,6
4,2015,4,2015-10-04,22-255,GNB,@,SFO,W 17-3,6,3,15,5.00,0,2,10,5.00,0,0,0,,0,0,0
5,2015,5,2015-10-11,22-262,GNB,,STL,W 24-10,5,4,59,14.75,1,0,0,,0,0,0,,0,1,6
6,2015,6,2015-10-18,22-269,GNB,,SDG,W 27-20,2,2,11,5.50,0,1,4,4.00,0,1,29,29.00,0,0,0
,,,6 Games,,,,,6-0-0,19,15,136,9.07,2,3,14,4.67,0,7,218,31.14,0,,12
