
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD
1,2015,2,2015-09-20,22-005,HOU,@,CAR,L 17-24,2,2,15,7.50,0,1,27,27.00,0,0,0,,0
2,2015,3,2015-09-27,22-012,HOU,,TAM,W 19-9,1,1,-1,-1.00,0,0,0,,0,3,9,3.00,0
3,2015,5,2015-10-08,22-023,HOU,,IND,L 20-27,1,0,0,,0,0,0,,0,0,0,,0
,,,3 Games,,,,,1-2-0,4,3,14,4.67,0,1,27,27.00,0,3,9,3.00,0
