
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,2014,1,2014-09-07,22-053,PHI,,JAX,W 34-17,4,2,37,18.50,0,0,0
2,2014,2,2014-09-15,22-061,PHI,@,IND,W 30-27,4,1,17,17.00,0,0,0
3,2014,3,2014-09-21,22-067,PHI,,WAS,W 37-34,9,8,59,7.38,2,2,12
4,2014,4,2014-09-28,22-074,PHI,@,SFO,L 21-26,7,4,28,7.00,0,0,0
5,2014,5,2014-10-05,22-081,PHI,,STL,W 34-28,7,4,35,8.75,0,0,0
6,2014,6,2014-10-12,22-088,PHI,,NYG,W 27-0,6,4,50,12.50,0,0,0
7,2014,7,2014-10-26,22-102,PHI,@,ARI,L 20-24,11,6,47,7.83,0,0,0
8,2014,8,2014-11-02,22-109,PHI,@,HOU,W 31-21,4,3,40,13.33,1,1,6
9,2014,9,2014-11-10,22-117,PHI,,CAR,W 45-21,9,7,138,19.71,2,2,12
10,2014,10,2014-11-16,22-123,PHI,@,GNB,L 20-53,8,5,107,21.40,1,1,6
11,2014,11,2014-11-23,22-130,PHI,,TEN,W 43-24,8,6,77,12.83,0,0,0
12,2014,12,2014-11-27,22-134,PHI,@,DAL,W 33-10,5,4,51,12.75,1,1,6
13,2014,13,2014-12-07,22-144,PHI,,SEA,L 14-24,5,2,23,11.50,0,0,0
14,2014,14,2014-12-14,22-151,PHI,,DAL,L 27-38,1,0,0,,0,0,0
15,2014,15,2014-12-20,22-157,PHI,@,WAS,L 24-27,5,3,58,19.33,0,0,0
16,2014,16,2014-12-28,22-165,PHI,@,NYG,W 34-26,10,8,105,13.13,1,1,6
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts
17,2015,1,2015-09-14,23-060,PHI,@,ATL,L 24-26,13,10,102,10.20,0,0,0
18,2015,2,2015-09-20,23-066,PHI,,DAL,L 10-20,9,6,80,13.33,1,1,6
19,2015,3,2015-09-27,23-073,PHI,@,NYJ,W 24-17,8,6,49,8.17,0,0,0
20,2015,4,2015-10-04,23-080,PHI,@,WAS,L 20-23,8,3,50,16.67,0,0,0
21,2015,5,2015-10-11,23-087,PHI,,NOR,W 39-17,7,5,44,8.80,0,0,0
22,2015,6,2015-10-19,23-095,PHI,,NYG,W 27-7,11,6,59,9.83,0,0,0
23,2015,7,2015-10-25,23-101,PHI,@,CAR,L 16-27,7,3,14,4.67,0,0,0
24,2015,8,2015-11-08,23-115,PHI,@,DAL,W 33-27,12,9,133,14.78,1,1,6
25,2015,9,2015-11-15,23-122,PHI,,MIA,L 19-20,5,3,21,7.00,0,0,0
26,2015,10,2015-11-22,23-129,PHI,,TAM,L 17-45,4,4,13,3.25,0,0,0
27,2015,11,2015-11-26,23-133,PHI,@,DET,L 14-45,5,3,60,20.00,1,1,6
,,,27 Games,,,,,14-13-0,192,125,1497,11.98,11,11,66
