
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Sk,Tkl,Ast
1,2011,16,2012-01-01,23-287,ATL,,TAM,W 45-24,,,,,,,,
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Sk,Tkl,Ast
2,2012,1,2012-09-09,24-173,ATL,@,KAN,W 40-24,,,,,,,,
3,2012,2,2012-09-17,24-181,ATL,,DEN,W 27-21,0,0,0,,0,0.0,0,0
4,2012,3,2012-09-23,24-187,ATL,@,SDG,W 27-3,,,,,,,,
5,2012,4,2012-09-30,24-194,ATL,,CAR,W 30-28,0,,,,,,,
6,2012,5,2012-10-07,24-201,ATL,@,WAS,W 24-17,,,,,,,,
7,2012,6,2012-10-14,24-208,ATL,,OAK,W 23-20,,,,,,,,
8,2012,7,2012-10-28,24-222,ATL,@,PHI,W 30-17,0,0,0,,0,0.0,0,0
9,2012,11,2012-11-25,24-250,ATL,@,TAM,W 24-23,,,,,,,,
10,2012,12,2012-11-29,24-254,ATL,,NOR,W 23-13,,,,,,,,
11,2012,13,2012-12-09,24-264,ATL,@,CAR,L 20-30,1,0,0,,0,0.0,0,0
12,2012,14,2012-12-16,24-271,ATL,,NYG,W 34-0,,,,,,,,
13,2012,15,2012-12-22,24-277,ATL,@,DET,W 31-18,,,,,,,,
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Sk,Tkl,Ast
14,2013,1,2013-09-08,25-172,ATL,@,NOR,L 17-23,,,,,,,,
15,2013,2,2013-09-15,25-179,ATL,,STL,W 31-24,0,0,0,,0,0.0,1,0
16,2013,3,2013-09-22,25-186,ATL,@,MIA,L 23-27,0,0,0,,0,0.0,1,0
17,2013,4,2013-09-29,25-193,ATL,,NWE,L 23-30,,,,,,,,
18,2013,5,2013-10-07,25-201,ATL,,NYJ,L 28-30,1,1,12,12.00,0,0.0,0,1
19,2013,6,2013-10-20,25-214,ATL,,TAM,W 31-23,,,,,,,,
20,2013,7,2013-10-27,25-221,ATL,@,ARI,L 13-27,0,0,0,,0,0.0,1,0
21,2013,8,2013-11-03,25-228,ATL,@,CAR,L 10-34,,,,,,,,
22,2013,9,2013-11-10,25-235,ATL,,SEA,L 10-33,0,0,0,,0,0.0,1,0
23,2013,10,2013-11-17,25-242,ATL,@,TAM,L 28-41,0,0,0,,0,0.0,1,0
24,2013,11,2013-11-21,25-246,ATL,,NOR,L 13-17,,,,,,,,
25,2013,12,2013-12-01,25-256,ATL,@,BUF,W 34-31,,,,,,,,
26,2013,13,2013-12-08,25-263,ATL,@,GNB,L 21-22,,,,,,,,
27,2013,14,2013-12-15,25-270,ATL,,WAS,W 27-26,,,,,,,,
28,2013,15,2013-12-23,25-278,ATL,@,SFO,L 24-34,0,0,0,,0,0.0,1,0
29,2013,16,2013-12-29,25-284,ATL,,CAR,L 20-21,,,,,,,,
,,,29 Games,,,,,16-13-0,2,1,12,12.00,0,0.0,6,1
