
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD
1,2012,6,2012-10-14,23-057,ARI,,BUF,L 16-19,,,,,
2,2012,11,2012-11-25,23-099,ARI,,STL,L 17-31,1,0,0,,0
3,2012,14,2012-12-16,23-120,ARI,,DET,W 38-10,0,0,0,,0
4,2012,15,2012-12-23,23-127,ARI,,CHI,L 13-28,1,1,8,8.00,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD
5,2014,1,2014-09-07,25-020,CLE,@,PIT,L 27-30,,,,,
,,,5 Games,,,,,1-4-0,2,1,8,8.00,0
