
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,2014,1,2014-09-08,22-253,NYG,@,DET,L 14-35,1,0,0,,0,0,0
2,2014,2,2014-09-14,22-259,NYG,,ARI,L 14-25,,,,,,,
3,2014,3,2014-09-21,22-266,NYG,,HOU,W 30-17,,,,,,,
4,2014,4,2014-09-25,22-270,NYG,@,WAS,W 45-14,,,,,,,
5,2014,5,2014-10-05,22-280,NYG,,ATL,W 30-20,,,,,,,
6,2014,6,2014-10-12,22-287,NYG,@,PHI,L 0-27,,,,,,,
7,2014,8,2014-11-03,22-309,NYG,,IND,L 24-40,6,4,48,12.00,1,1,6
8,2014,9,2014-11-09,22-315,NYG,@,SEA,L 17-38,,,,,,,
9,2014,10,2014-11-16,22-322,NYG,,SFO,L 10-16,,,,,,,
10,2014,11,2014-11-23,22-329,NYG,,DAL,L 28-31,,,,,,,
11,2014,12,2014-11-30,22-336,NYG,@,JAX,L 24-25,,,,,,,
12,2014,13,2014-12-07,22-343,NYG,@,TEN,W 36-7,,,,,,,
13,2014,14,2014-12-14,22-350,NYG,,WAS,W 24-13,1,1,4,4.00,0,0,0
14,2014,15,2014-12-21,22-357,NYG,@,STL,W 37-27,,,,,,,
,,,14 Games,,,,,6-8-0,8,5,52,10.40,1,1,6
