
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
1,2014,4,2014-09-28,23-111,GNB,@,CHI,W 38-17,,,,,,,,,
2,2014,5,2014-10-02,23-115,GNB,,MIN,W 42-10,2,2,16,8.00,0,0,0,,0
3,2014,6,2014-10-12,23-125,GNB,@,MIA,W 27-24,,,,,,,,,
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
4,2015,1,2015-09-13,24-096,GNB,@,CHI,W 31-23,0,0,0,,0,0,0,,0
5,2015,2,2015-09-20,24-103,GNB,,SEA,W 27-17,0,0,0,,0,0,0,,0
6,2015,3,2015-09-28,24-111,GNB,,KAN,W 38-28,1,0,0,,0,0,0,,0
7,2015,4,2015-10-04,24-117,GNB,@,SFO,W 17-3,0,0,0,,0,0,0,,0
8,2015,5,2015-10-11,24-124,GNB,,STL,W 24-10,0,0,0,,0,0,0,,0
9,2015,6,2015-10-18,24-131,GNB,,SDG,W 27-20,4,2,79,39.50,0,0,0,,0
10,2015,7,2015-11-01,24-145,GNB,@,DEN,L 10-29,0,0,0,,0,0,0,,0
11,2015,8,2015-11-08,24-152,GNB,@,CAR,L 29-37,0,0,0,,0,0,0,,0
12,2015,9,2015-11-15,24-159,GNB,,DET,L 16-18,0,0,0,,0,0,0,,0
13,2015,10,2015-11-22,24-166,GNB,@,MIN,W 30-13,2,0,0,,0,2,83,41.50,0
14,2015,11,2015-11-26,24-170,GNB,,CHI,L 13-17,0,0,0,,0,2,82,41.00,0
,,,14 Games,,,,,10-4-0,9,4,95,23.75,0,4,165,41.25,0
