
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,TD,Pts,Sk,Tkl,Ast
1,2014,1,2014-09-07,22-097,TAM,,CAR,L 14-20,,,,,,,,,,,,,,
2,2014,2,2014-09-14,22-104,TAM,,STL,L 17-19,3,2,13,6.50,0,0,0,,0,0,0,0.0,0,0
3,2014,3,2014-09-18,22-108,TAM,@,ATL,L 14-56,3,1,5,5.00,0,0,0,,0,0,0,0.0,0,0
4,2014,5,2014-10-05,22-125,TAM,@,NOR,L 31-37,1,1,9,9.00,1,0,0,,0,1,6,0.0,1,0
5,2014,6,2014-10-12,22-132,TAM,,BAL,L 17-48,2,2,31,15.50,0,0,0,,0,0,0,0.0,0,0
6,2014,7,2014-10-26,22-146,TAM,,MIN,L 13-19,0,0,0,,0,1,0,0.00,0,0,0,0.0,0,0
7,2014,8,2014-11-02,22-153,TAM,@,CLE,L 17-22,,,,,,,,,,,,,,
8,2014,12,2014-11-30,22-181,TAM,,CIN,L 13-14,3,0,0,,0,0,0,,0,0,0,0.0,0,0
,,,8 Games,,,,,0-8-0,12,6,58,9.67,1,1,0,0.00,0,1,6,0.0,1,0
