
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD
1,2015,3,2015-09-27,23-070,DET,,DEN,L 12-24,0,0,,0,0,0,0,,0,0,0,,0,1,28,28.00,0
2,2015,4,2015-10-05,23-078,DET,@,SEA,L 10-13,0,0,,0,0,0,0,,0,0,0,,0,3,29,9.67,0
3,2015,5,2015-10-11,23-084,DET,,ARI,L 17-42,0,0,,0,3,1,11,11.00,0,2,53,26.50,0,2,2,1.00,0
4,2015,6,2015-10-18,23-091,DET,,CHI,W 37-34,1,-3,-3.00,0,0,0,0,,0,2,47,23.50,0,1,0,0.00,0
5,2015,7,2015-10-25,23-098,DET,,MIN,L 19-28,0,0,,0,0,0,0,,0,1,6,6.00,0,0,0,,0
,,,5 Games,,,,,1-4-0,1,-3,-3.00,0,3,1,11,11.00,0,5,106,21.20,0,7,59,8.43,0
