
,,,,,,,,
Rk,Year,G#,Date,Age,Tm,,Opp,Result
1,2013,1,2013-09-08,22-205,NYJ,,TAM,W 18-17
2,2013,2,2013-09-12,22-209,NYJ,@,NWE,L 10-13
3,2013,4,2013-09-29,22-226,NYJ,@,TEN,L 13-38
4,2013,8,2013-10-31,22-258,MIA,,CIN,W 22-20
,,,4 Games,,,,,2-2-0
