
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,TD,Pts,Sk,Tkl,Ast
1,2012,1,2012-09-09,21-149,CLE,,PHI,L 16-17,4,2,32,16.00,0,0,0,,0,0,0,,0,0,0,,,,0,0,0.0,0,0
2,2012,2,2012-09-16,21-156,CLE,@,CIN,L 27-34,3,1,5,5.00,0,0,0,,0,0,0,,0,0,0,,,,0,0,0.0,0,0
3,2012,3,2012-09-23,21-163,CLE,,BUF,L 14-24,6,3,40,13.33,0,0,0,,0,0,0,,0,0,0,,,,0,0,0.0,0,0
4,2012,4,2012-09-27,21-167,CLE,@,BAL,L 16-23,1,1,16,16.00,0,0,0,,0,0,0,,0,0,0,,,,0,0,0.0,0,0
5,2012,5,2012-10-07,21-177,CLE,@,NYG,L 27-41,8,2,82,41.00,2,0,0,,0,0,0,,0,0,0,,,,2,12,0.0,0,0
6,2012,6,2012-10-14,21-184,CLE,,CIN,W 34-24,4,3,99,33.00,1,0,0,,0,0,0,,0,0,0,,,,1,6,0.0,0,0
7,2012,7,2012-10-21,21-191,CLE,@,IND,L 13-17,11,2,59,29.50,1,0,0,,0,0,0,,0,0,0,,,,1,6,0.0,0,0
8,2012,8,2012-10-28,21-198,CLE,,SDG,W 7-6,5,3,46,15.33,0,0,0,,0,0,0,,0,0,0,,,,0,0,0.0,0,0
9,2012,9,2012-11-04,21-205,CLE,,BAL,L 15-25,3,2,38,19.00,0,0,0,,0,0,0,,0,0,0,,,,0,0,0.0,0,0
10,2012,10,2012-11-18,21-219,CLE,@,DAL,L 20-23,7,5,53,10.60,0,0,0,,0,0,0,,0,0,0,,,,0,0,0.0,0,0
11,2012,11,2012-11-25,21-226,CLE,,PIT,W 20-14,7,4,60,15.00,0,0,0,,0,0,0,,0,0,0,,,,0,0,0.0,0,0
12,2012,12,2012-12-02,21-233,CLE,@,OAK,W 20-17,7,6,116,19.33,1,0,0,,0,0,0,,0,0,0,,,,1,6,0.0,0,0
