
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,2PM,TD,Pts,Sk,Tkl,Ast
22,2011,13,2011-12-08,23-151,PIT,,CLE,W 14-3,8,5,151,30.20,1,0,0,,0,0,0,,0,0,0,,,,1,21,21.00,0,0,0,,0,,1,6,0.0,0,0
23,2011,14,2011-12-19,23-162,PIT,@,SFO,L 3-20,10,5,59,11.80,0,0,0,,0,0,0,,0,0,0,,,,3,85,28.33,0,2,-10,-5.00,0,,0,0,0.0,0,0
24,2011,15,2011-12-24,23-167,PIT,,STL,W 27-0,6,3,34,11.33,0,1,8,8.00,0,0,0,,0,0,0,,,,1,30,30.00,0,1,5,5.00,0,,0,0,0.0,2,0
25,2011,16,2012-01-01,23-175,PIT,@,CLE,W 13-9,10,6,90,15.00,0,0,0,,0,0,0,,0,0,0,,,,3,73,24.33,0,0,0,,0,,0,0,0.0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,2PM,TD,Pts,Sk,Tkl,Ast
26,2012,1,2012-09-09,24-061,PIT,@,DEN,L 19-31,8,4,74,18.50,0,1,4,4.00,0,0,0,,0,0,0,,,,0,0,,0,2,23,11.50,0,,0,0,0.0,0,0
27,2012,2,2012-09-16,24-068,PIT,,NYJ,W 27-10,10,7,79,11.29,0,1,9,9.00,0,0,0,,0,0,0,,,,0,0,,0,1,10,10.00,0,,0,0,0.0,0,0
28,2012,3,2012-09-23,24-075,PIT,@,OAK,L 31-34,11,7,87,12.43,1,0,0,,0,0,0,,0,0,0,,,,0,0,,0,2,22,11.00,0,,1,6,0.0,0,0
29,2012,4,2012-10-07,24-089,PIT,,PHI,W 16-14,10,7,86,12.29,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,1,7,7.00,0,,0,0,0.0,0,0
30,2012,5,2012-10-11,24-093,PIT,@,TEN,L 23-26,10,4,20,5.00,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,3,10,3.33,0,,0,0,0.0,0,0
31,2012,6,2012-10-21,24-103,PIT,@,CIN,W 24-17,8,7,96,13.71,0,2,13,6.50,0,0,1,0.00,0,0,0,39.6,0.00,0.00,0,0,,0,3,10,3.33,0,,0,0,0.0,0,0
32,2012,7,2012-10-28,24-110,PIT,,WAS,W 27-12,6,4,38,9.50,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,3,25,8.33,0,,0,0,0.0,0,0
33,2012,8,2012-11-04,24-117,PIT,@,NYG,W 24-20,3,2,19,9.50,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,,0,0,0.0,0,0
34,2012,12,2012-12-02,24-145,PIT,@,BAL,W 23-20,10,5,58,11.60,0,1,4,4.00,0,0,1,0.00,0,0,1,0.0,0.00,-45.00,0,0,,0,5,9,1.80,0,,0,0,0.0,0,0
35,2012,13,2012-12-09,24-152,PIT,,SDG,L 24-34,9,4,35,8.75,1,0,0,,0,0,0,,0,0,0,,,,0,0,,0,1,0,0.00,0,,1,6,0.0,0,0
36,2012,14,2012-12-16,24-159,PIT,@,DAL,L 24-27,12,8,76,9.50,1,0,0,,0,0,0,,0,0,0,,,,0,0,,0,3,51,17.00,0,,1,6,0.0,0,0
37,2012,15,2012-12-23,24-166,PIT,,CIN,L 10-13,6,5,97,19.40,1,0,0,,0,0,0,,0,0,0,,,,0,0,,0,2,6,3.00,0,,1,6,0.0,0,0
38,2012,16,2012-12-30,24-173,PIT,,CLE,W 24-10,3,2,22,11.00,1,2,-6,-3.00,0,0,0,,0,0,0,,,,0,0,,0,1,10,10.00,0,,1,6,0.0,1,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,2PM,TD,Pts,Sk,Tkl,Ast
39,2013,1,2013-09-08,25-060,PIT,,TEN,L 9-16,7,5,71,14.20,0,1,4,4.00,0,0,0,,0,0,0,,,,1,16,16.00,0,1,1,1.00,0,,0,0,0.0,0,0
40,2013,2,2013-09-16,25-068,PIT,@,CIN,L 10-20,9,6,57,9.50,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,2,37,18.50,0,,0,0,0.0,0,0
41,2013,3,2013-09-22,25-074,PIT,,CHI,L 23-40,13,9,196,21.78,2,0,0,,0,0,0,,0,0,0,,,,0,0,,0,2,4,2.00,0,,2,12,0.0,1,0
42,2013,4,2013-09-29,25-081,PIT,@,MIN,L 27-34,13,12,88,7.33,0,1,10,10.00,0,0,0,,0,0,0,,,,0,0,,0,1,3,3.00,0,,0,0,0.0,0,0
43,2013,5,2013-10-13,25-095,PIT,@,NYJ,W 19-6,11,9,86,9.56,0,0,0,,0,1,1,100.00,15,0,0,118.7,15.00,15.00,0,0,,0,2,11,5.50,0,,0,0,0.0,0,0
44,2013,6,2013-10-20,25-102,PIT,,BAL,W 19-16,7,6,50,8.33,0,1,3,3.00,0,0,0,,0,0,0,,,,0,0,,0,1,18,18.00,0,,0,0,0.0,0,0
45,2013,7,2013-10-27,25-109,PIT,@,OAK,L 18-21,13,9,82,9.11,0,1,2,2.00,0,0,0,,0,0,0,,,,0,0,,0,4,47,11.75,0,,0,0,0.0,0,0
46,2013,8,2013-11-03,25-116,PIT,@,NWE,L 31-55,9,5,71,14.20,1,0,0,,0,0,0,,0,0,0,,,,0,0,,0,1,24,24.00,0,,1,6,0.0,0,0
47,2013,9,2013-11-10,25-123,PIT,,BUF,W 23-10,11,6,104,17.33,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,2,74,37.00,0,,0,0,0.0,0,0
48,2013,10,2013-11-17,25-130,PIT,,DET,W 37-27,13,7,147,21.00,2,1,-8,-8.00,0,0,0,,0,0,0,,,,0,0,,0,2,17,8.50,0,,2,12,0.0,0,0
49,2013,11,2013-11-24,25-137,PIT,@,CLE,W 27-11,10,6,92,15.33,1,1,-8,-8.00,0,0,0,,0,0,0,,,,0,0,,0,2,19,9.50,0,,1,6,0.0,0,0
50,2013,12,2013-11-28,25-141,PIT,@,BAL,L 20-22,8,5,59,11.80,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,,0,0,0.0,0,0
51,2013,13,2013-12-08,25-151,PIT,,MIA,L 28-34,10,5,138,27.60,1,0,0,,0,0,0,,0,0,0,,,,0,0,,0,5,14,2.80,0,,1,6,0.0,0,0
52,2013,14,2013-12-15,25-158,PIT,,CIN,W 30-20,6,5,66,13.20,1,1,1,1.00,0,0,0,,0,0,0,,,,0,0,,0,2,78,39.00,1,,1,12,0.0,0,0
53,2013,15,2013-12-22,25-165,PIT,@,GNB,W 38-31,13,6,105,17.50,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,2,41,20.50,0,,0,0,0.0,1,0
54,2013,16,2013-12-29,25-172,PIT,,CLE,W 20-7,14,9,87,9.67,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,3,21,7.00,0,,0,0,0.0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,2PM,TD,Pts,Sk,Tkl,Ast
55,2014,1,2014-09-07,26-059,PIT,,CLE,W 30-27,6,5,116,23.20,1,0,0,,0,0,0,,0,0,0,,,,0,0,,0,3,46,15.33,0,,1,6,0.0,0,0
56,2014,2,2014-09-11,26-063,PIT,@,BAL,L 6-26,12,7,90,12.86,0,2,10,5.00,0,0,0,,0,0,0,,,,0,0,,0,2,13,6.50,0,,0,0,0.0,0,0
57,2014,3,2014-09-21,26-073,PIT,@,CAR,W 37-19,10,10,90,9.00,2,0,0,,0,0,0,,0,0,0,,,,0,0,,0,2,17,8.50,0,,2,12,0.0,0,0
58,2014,4,2014-09-28,26-080,PIT,,TAM,L 24-27,11,7,131,18.71,2,0,0,,0,1,1,100.00,17,0,0,118.7,17.00,17.00,0,0,,0,0,0,,0,,2,12,0.0,0,0
59,2014,5,2014-10-05,26-087,PIT,@,JAX,W 17-9,12,5,84,16.80,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,4,20,5.00,0,,0,0,0.0,0,0
60,2014,6,2014-10-12,26-094,PIT,@,CLE,L 10-31,10,7,118,16.86,0,1,-2,-2.00,0,0,0,,0,0,0,,,,0,0,,0,2,9,4.50,0,,0,0,0.0,0,0
61,2014,7,2014-10-20,26-102,PIT,,HOU,W 30-23,13,9,90,10.00,0,0,0,,0,1,1,100.00,3,1,0,118.7,3.00,23.00,0,0,,0,2,21,10.50,0,,0,0,0.0,0,0
62,2014,8,2014-10-26,26-108,PIT,,IND,W 51-34,13,10,133,13.30,2,1,5,5.00,0,0,0,,0,0,0,,,,1,0,0.00,0,3,16,5.33,0,,2,12,0.0,0,0
63,2014,9,2014-11-02,26-115,PIT,,BAL,W 43-23,16,11,144,13.09,1,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,,1,6,0.0,0,0
64,2014,10,2014-11-09,26-122,PIT,@,NYJ,L 13-20,9,8,74,9.25,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,2,7,3.50,0,,0,0,0.0,1,0
65,2014,11,2014-11-17,26-130,PIT,@,TEN,W 27-24,11,9,91,10.11,1,0,0,,0,0,0,,0,0,0,,,,0,0,,0,1,14,14.00,0,,1,6,0.0,0,0
66,2014,12,2014-11-30,26-143,PIT,,NOR,L 32-35,12,8,97,12.13,2,0,0,,0,0,0,,0,0,0,,,,0,0,,0,2,15,7.50,0,1,2,14,0.0,0,0
67,2014,13,2014-12-07,26-150,PIT,@,CIN,W 42-21,14,9,117,13.00,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,3,14,4.67,0,,0,0,0.0,0,0
68,2014,14,2014-12-14,26-157,PIT,@,ATL,W 27-20,10,10,123,12.30,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,2,43,21.50,0,,0,0,0.0,0,0
