
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,2PM,TD,Pts,Sk,Tkl,Ast
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,2PM,TD,Pts,Sk,Tkl,Ast
30,2011,1,2011-09-11,23-106,MIN,@,SDG,L 17-24,4,2,7,3.50,0,4,15,3.75,0,1,103,103.00,1,,0,6,0.0,0,0
31,2011,2,2011-09-18,23-113,MIN,,TAM,L 20-24,9,7,76,10.86,0,2,18,9.00,0,1,2,2.00,0,,0,0,0.0,0,0
32,2011,3,2011-09-25,23-120,MIN,,DET,L 23-26,5,3,47,15.67,0,2,41,20.50,0,2,47,23.50,0,,0,0,0.0,0,0
33,2011,4,2011-10-02,23-127,MIN,@,KAN,L 17-22,7,5,42,8.40,0,4,67,16.75,0,1,25,25.00,0,,0,0,0.0,0,0
34,2011,5,2011-10-09,23-134,MIN,,ARI,W 34-10,2,1,11,11.00,0,1,12,12.00,0,0,0,,0,,0,0,0.0,0,0
35,2011,6,2011-10-16,23-141,MIN,@,CHI,L 10-39,9,7,78,11.14,0,1,5,5.00,0,2,48,24.00,0,,0,0,0.0,0,0
36,2011,7,2011-10-23,23-148,MIN,,GNB,L 27-33,3,2,15,7.50,0,2,8,4.00,0,2,55,27.50,0,,0,0,0.0,0,0
37,2011,8,2011-10-30,23-155,MIN,@,CAR,W 24-21,5,4,58,14.50,0,4,19,4.75,1,0,0,,0,,1,6,0.0,1,0
38,2011,9,2011-11-14,23-170,MIN,@,GNB,L 7-45,8,6,52,8.67,0,3,18,6.00,0,0,0,,0,,0,0,0.0,0,0
39,2011,10,2011-11-20,23-176,MIN,,OAK,L 21-27,8,6,73,12.17,1,5,21,4.20,0,1,14,14.00,0,,1,6,0.0,0,0
40,2011,11,2011-11-27,23-183,MIN,@,ATL,L 14-24,8,8,95,11.88,1,5,11,2.20,0,1,104,104.00,0,,1,6,0.0,0,0
41,2011,12,2011-12-04,23-190,MIN,,DEN,L 32-35,9,8,156,19.50,2,5,19,3.80,0,0,0,,0,,2,12,0.0,0,0
42,2011,13,2011-12-11,23-197,MIN,@,DET,L 28-34,15,10,69,6.90,1,4,40,10.00,0,1,47,47.00,0,,1,6,0.0,0,0
43,2011,14,2011-12-18,23-204,MIN,,NOR,L 20-42,7,3,8,2.67,0,1,-1,-1.00,0,1,28,28.00,0,,0,0,0.0,0,0
44,2011,15,2011-12-24,23-210,MIN,@,WAS,W 33-26,6,5,65,13.00,1,4,39,9.75,0,3,47,15.67,0,,1,6,0.0,0,0
45,2011,16,2012-01-01,23-218,MIN,,CHI,L 13-17,16,10,115,11.50,0,5,13,2.60,1,0,0,,0,,1,6,0.0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,2PM,TD,Pts,Sk,Tkl,Ast
46,2012,1,2012-09-09,24-104,MIN,,JAX,W 26-23,8,6,84,14.00,0,5,20,4.00,0,3,88,29.33,0,,0,0,0.0,0,0
47,2012,2,2012-09-16,24-111,MIN,@,IND,L 20-23,13,12,104,8.67,0,2,13,6.50,0,2,78,39.00,0,,0,0,0.0,0,0
48,2012,3,2012-09-23,24-118,MIN,,SFO,W 24-13,11,9,89,9.89,0,1,9,9.00,0,3,74,24.67,0,,0,0,0.0,0,0
49,2012,4,2012-09-30,24-125,MIN,@,DET,W 20-13,6,3,22,7.33,0,3,12,4.00,0,1,105,105.00,1,,0,6,0.0,0,0
50,2012,5,2012-10-07,24-132,MIN,,TEN,W 30-7,10,8,108,13.50,1,2,8,4.00,1,0,0,,0,,2,12,0.0,0,0
51,2012,6,2012-10-14,24-139,MIN,@,WAS,L 26-38,14,11,133,12.09,0,2,1,0.50,0,3,100,33.33,0,,0,0,0.0,0,0
52,2012,7,2012-10-21,24-146,MIN,,ARI,W 21-14,5,4,37,9.25,1,2,10,5.00,0,2,47,23.50,0,,1,6,0.0,0,0
53,2012,8,2012-10-25,24-150,MIN,,TAM,L 17-36,12,7,90,12.86,1,1,-1,-1.00,0,1,43,43.00,0,,1,6,0.0,0,0
54,2012,9,2012-11-04,24-160,MIN,@,SEA,L 20-30,6,2,10,5.00,0,4,24,6.00,0,1,39,39.00,0,,0,0,0.0,0,0
