
,,,,,,,,,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Ret,Yds,Y/R,TD
1,2013,14,2013-12-15,22-260,STL,,NOR,W 27-16,1,7,7.00,0
2,2013,15,2013-12-22,22-267,STL,,TAM,W 23-13,3,34,11.33,0
3,2013,16,2013-12-29,22-274,STL,@,SEA,L 9-27,3,20,6.67,0
,,,3 Games,,,,,2-1-0,7,61,8.71,0
