
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,2PM,TD,Pts,Sk,Tkl,Ast
1,2014,1,2014-09-07,21-283,MIA,,NWE,W 33-20,1,0,0,,0,0,0,,0,0,0,,0,0,0,,,,2,56,28.00,0,3,24,8.00,0,,0,0,0.0,0,0
2,2014,2,2014-09-14,21-290,MIA,@,BUF,L 10-29,6,5,49,9.80,0,0,0,,0,0,0,,0,0,0,,,,3,57,19.00,0,2,7,3.50,0,,0,0,0.0,1,0
3,2014,3,2014-09-21,21-297,MIA,,KAN,L 15-34,7,3,24,8.00,0,0,0,,0,0,0,,0,0,0,,,,5,174,34.80,0,3,11,3.67,0,,0,0,0.0,0,0
4,2014,4,2014-09-28,21-304,MIA,@,OAK,W 38-14,4,4,38,9.50,0,0,0,,0,0,0,,0,0,0,,,,1,35,35.00,0,1,9,9.00,0,,0,0,0.0,0,0
5,2014,5,2014-10-12,21-318,MIA,,GNB,L 24-27,8,6,75,12.50,1,0,0,,0,0,0,,0,0,0,,,,2,91,45.50,0,0,0,,0,,1,6,0.0,1,0
6,2014,6,2014-10-19,21-325,MIA,@,CHI,W 27-14,5,4,46,11.50,0,0,0,,0,0,0,,0,0,0,,,,2,55,27.50,0,2,22,11.00,0,,0,0,0.0,0,0
7,2014,7,2014-10-26,21-332,MIA,@,JAX,W 27-13,3,3,23,7.67,0,1,4,4.00,0,0,0,,0,0,0,,,,1,32,32.00,0,2,10,5.00,0,,0,0,0.0,0,0
8,2014,8,2014-11-02,21-339,MIA,,SDG,W 37-0,6,5,46,9.20,1,0,0,,0,0,0,,0,0,0,,,,1,31,31.00,0,4,55,13.75,0,,1,6,0.0,0,0
9,2014,9,2014-11-09,21-346,MIA,@,DET,L 16-20,10,7,53,7.57,0,1,-8,-8.00,0,0,0,,0,0,0,,,,2,77,38.50,0,1,5,5.00,0,,0,0,0.0,1,0
10,2014,10,2014-11-13,21-350,MIA,,BUF,W 22-9,5,5,46,9.20,1,0,0,,0,0,0,,0,0,0,,,,2,47,23.50,0,0,0,,0,,1,6,0.0,0,0
11,2014,11,2014-11-23,21-360,MIA,@,DEN,L 36-39,11,7,50,7.14,2,0,0,,0,0,0,,0,0,0,,,,1,20,20.00,0,1,17,17.00,0,,2,12,0.0,0,0
12,2014,12,2014-12-01,22-003,MIA,@,NYJ,W 16-13,11,8,68,8.50,0,0,0,,0,0,0,,0,0,0,,,,2,40,20.00,0,0,0,,0,,0,0,0.0,0,0
13,2014,13,2014-12-07,22-009,MIA,,BAL,L 13-28,6,6,55,9.17,0,0,0,,0,0,0,,0,0,0,,,,2,61,30.50,0,3,12,4.00,0,,0,0,0.0,0,0
