
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD
1,2015,1,2015-09-13,23-103,DAL,,NYG,W 27-26,0,0,,0,0,0,0,,0,0,0,,0,0,0,,0
2,2015,2,2015-09-20,23-110,DAL,@,PHI,W 20-10,0,0,,0,0,0,0,,0,0,0,,0,0,0,,0
3,2015,3,2015-09-27,23-117,DAL,,ATL,L 28-39,0,0,,0,0,0,0,,0,0,0,,0,0,0,,0
4,2015,5,2015-10-11,23-131,DAL,,NWE,L 6-30,0,0,,0,2,1,-3,-3.00,0,1,21,21.00,0,1,-2,-2.00,0
5,2015,6,2015-10-25,23-145,DAL,@,NYG,L 20-27,4,35,8.75,0,0,0,0,,0,2,44,22.00,0,0,0,,0
6,2015,7,2015-11-01,23-152,DAL,,SEA,L 12-13,1,2,2.00,0,0,0,0,,0,0,0,,0,0,0,,0
7,2015,8,2015-11-08,23-159,DAL,,PHI,L 27-33,0,0,,0,2,1,8,8.00,0,1,79,79.00,0,2,5,2.50,0
8,2015,9,2015-11-15,23-166,DAL,@,TAM,L 6-10,0,0,,0,1,1,0,0.00,0,0,0,,0,1,0,0.00,0
9,2015,10,2015-11-22,23-173,DAL,@,MIA,W 24-14,0,0,,0,0,0,0,,0,0,0,,0,2,18,9.00,0
10,2015,11,2015-11-26,23-177,DAL,,CAR,L 14-33,0,0,,0,1,1,4,4.00,0,0,0,,0,1,8,8.00,0
,,,10 Games,,,,,3-7-0,5,37,7.40,0,6,4,9,2.25,0,4,144,36.00,0,7,29,4.14,0
