
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,2010,5,2010-10-10,24-140,PHI,@,SFO,W 27-24,1,1,9,9.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
2,2010,6,2010-10-17,24-147,PHI,,ATL,W 31-17,4,1,5,5.00,0,1,5,5.00,0,0,0,,0,0,0,,0,0,0,0.0,0,0
3,2010,7,2010-10-24,24-154,PHI,@,TEN,L 19-37,2,1,5,5.00,0,4,19,4.75,0,0,0,,0,0,0,,0,0,0,0.0,0,0
4,2010,12,2010-12-02,24-193,PHI,,HOU,W 34-24,0,0,0,,0,3,3,1.00,0,0,0,,0,0,0,,0,0,0,0.0,0,0
5,2010,13,2010-12-12,24-203,PHI,@,DAL,W 30-27,3,2,12,6.00,0,0,0,,0,1,21,21.00,0,0,0,,0,0,0,0.0,0,0
6,2010,14,2010-12-19,24-210,PHI,@,NYG,W 38-31,,,,,,,,,,,,,,,,,,,,,,
7,2010,15,2010-12-28,24-219,PHI,,MIN,L 14-24,0,0,0,,0,0,0,,0,3,44,14.67,0,0,0,,0,0,0,0.0,0,0
8,2010,16,2011-01-02,24-224,PHI,,DAL,L 13-14,8,6,84,14.00,1,1,2,2.00,0,0,0,,0,3,31,10.33,0,1,6,0.0,2,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
9,2011,10,2011-11-20,25-181,PHI,@,NYG,W 17-10,0,0,0,,0,2,11,5.50,0,0,0,,0,1,9,9.00,0,0,0,0.0,0,0
10,2011,11,2011-11-27,25-188,PHI,,NWE,L 20-38,5,1,16,16.00,0,1,2,2.00,0,0,0,,0,0,0,,0,0,0,0.0,0,0
11,2011,12,2011-12-01,25-192,PHI,@,SEA,L 14-31,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,0
12,2011,13,2011-12-11,25-202,PHI,@,MIA,W 26-10,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
13,2011,14,2011-12-18,25-209,PHI,,NYJ,W 45-19,0,0,0,,0,0,0,,0,0,0,,0,2,15,7.50,0,0,0,0.0,0,0
14,2011,15,2011-12-24,25-215,PHI,@,DAL,W 20-7,1,1,-3,-3.00,0,0,0,,0,0,0,,0,2,20,10.00,0,0,0,0.0,0,0
15,2011,16,2012-01-01,25-223,PHI,,WAS,W 34-10,1,1,7,7.00,1,0,0,,0,2,43,21.50,0,2,32,16.00,0,1,6,0.0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
16,2013,3,2013-09-19,27-119,KAN,@,PHI,W 26-16,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
17,2013,4,2013-09-29,27-129,KAN,,NYG,W 31-7,,,,,,,,,,,,,,,,,,,,,,
18,2013,5,2013-10-06,27-136,KAN,@,TEN,W 26-17,4,1,9,9.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
19,2013,6,2013-10-13,27-143,KAN,,OAK,W 24-7,,,,,,,,,,,,,,,,,,,,,,
20,2013,7,2013-10-20,27-150,KAN,,HOU,W 17-16,,,,,,,,,,,,,,,,,,,,,,
21,2013,8,2013-10-27,27-157,KAN,,CLE,W 23-17,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
22,2013,9,2013-11-03,27-164,KAN,@,BUF,W 23-13,,,,,,,,,,,,,,,,,,,,,,
23,2013,12,2013-12-01,27-192,KAN,,DEN,L 28-35,,,,,,,,,,,,,,,,,,,,,,
24,2013,14,2013-12-15,27-206,KAN,@,OAK,W 56-31,1,1,11,11.00,0,0,0,,0,0,0,,0,1,9,9.00,0,0,0,0.0,0,0
,,,24 Games,,,,,18-6-0,34,16,155,9.69,2,12,42,3.50,0,6,108,18.00,0,11,116,10.55,0,2,12,0.0,3,0
