
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Sk,Tkl,Ast
1,2014,2,2014-09-14,22-257,CIN,,ATL,W 24-10,1,0,0,,0,0,0,,0,0.0,1,0
2,2014,3,2014-09-21,22-264,CIN,,TEN,W 33-7,1,0,0,,0,0,0,,0,0.0,0,0
3,2014,4,2014-10-05,22-278,CIN,@,NWE,L 17-43,1,0,0,,0,0,0,,0,0.0,0,0
4,2014,5,2014-10-12,22-285,CIN,,CAR,T 37-37,1,1,24,24.00,0,0,0,,0,0.0,0,0
5,2014,6,2014-10-19,22-292,CIN,@,IND,L 0-27,2,0,0,,0,0,0,,0,0.0,1,0
6,2014,7,2014-10-26,22-299,CIN,,BAL,W 27-24,0,0,0,,0,0,0,,0,0.0,1,0
7,2014,8,2014-11-02,22-306,CIN,,JAX,W 33-23,0,0,0,,0,1,11,11.00,0,0.0,1,0
8,2014,9,2014-11-06,22-310,CIN,,CLE,L 3-24,2,0,0,,0,1,13,13.00,0,0.0,2,0
9,2014,10,2014-11-16,22-320,CIN,@,NOR,W 27-10,1,1,8,8.00,0,0,0,,0,0.0,0,0
10,2014,11,2014-11-23,22-327,CIN,@,HOU,W 22-13,2,0,0,,0,0,0,,0,0.0,0,0
11,2014,12,2014-11-30,22-334,CIN,@,TAM,W 14-13,5,3,59,19.67,0,1,6,6.00,0,0.0,0,0
,,,11 Games,,,,,7-3-1,16,5,91,18.20,0,3,30,10.00,0,0.0,6,0
