
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,2014,1,2014-09-07,23-214,CAR,@,TAM,W 20-14,8,6,92,15.33,1,1,6,0.0,0,0
2,2014,2,2014-09-14,23-221,CAR,,DET,W 24-7,8,2,46,23.00,0,0,0,0.0,0,0
3,2014,3,2014-09-21,23-228,CAR,,PIT,L 19-37,11,8,115,14.38,1,1,6,0.0,0,0
4,2014,4,2014-09-28,23-235,CAR,@,BAL,L 10-38,9,5,76,15.20,1,1,6,0.0,0,0
5,2014,5,2014-10-05,23-242,CAR,,CHI,W 31-24,11,3,38,12.67,0,0,0,0.0,1,0
6,2014,6,2014-10-12,23-249,CAR,@,CIN,T 37-37,8,7,49,7.00,1,1,6,0.0,0,0
7,2014,7,2014-10-19,23-256,CAR,@,GNB,L 17-38,6,3,61,20.33,1,1,6,0.0,0,0
8,2014,8,2014-10-26,23-263,CAR,,SEA,L 9-13,7,4,94,23.50,0,0,0,0.0,0,0
9,2014,9,2014-10-30,23-267,CAR,,NOR,L 10-28,10,2,18,9.00,0,0,0,0.0,0,0
10,2014,10,2014-11-10,23-278,CAR,@,PHI,L 21-45,7,3,70,23.33,2,2,12,0.0,0,0
11,2014,11,2014-11-16,23-284,CAR,,ATL,L 17-19,13,9,109,12.11,1,1,6,0.0,1,0
12,2014,12,2014-11-30,23-298,CAR,@,MIN,L 13-31,12,5,56,11.20,0,0,0,0.0,0,0
13,2014,13,2014-12-07,23-305,CAR,@,NOR,W 41-10,5,2,24,12.00,1,1,6,0.0,0,0
14,2014,14,2014-12-14,23-312,CAR,,TAM,W 19-17,13,8,104,13.00,0,0,0,0.0,0,0
15,2014,15,2014-12-21,23-319,CAR,,CLE,W 17-13,12,5,47,9.40,0,0,0,0.0,0,0
16,2014,16,2014-12-28,23-326,CAR,@,ATL,W 34-3,5,1,9,9.00,0,0,0,0.0,0,0
,,,16 Games,,,,,7-8-1,145,73,1008,13.81,9,9,54,0.0,2,0
