
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD
1,2010,16,2011-01-02,23-086,NWE,,MIA,W 38-7,4,3,41,13.67,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD
2,2011,6,2011-10-16,24-008,NWE,,DAL,W 20-16,,,,,
3,2011,7,2011-10-30,24-022,NWE,@,PIT,L 17-25,1,0,0,,0
4,2011,10,2011-11-21,24-044,NWE,,KAN,W 34-3,,,,,
5,2011,14,2011-12-15,24-068,JAX,@,ATL,L 14-41,3,2,39,19.50,0
6,2011,16,2012-01-01,24-085,JAX,,IND,W 19-13,,,,,
,,,6 Games,,,,,4-2-0,8,5,80,16.00,0
