
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,2013,5,2013-10-06,21-022,CHI,,NOR,L 18-26,,,,,,,
2,2013,6,2013-10-10,21-026,CHI,,NYG,W 27-21,,,,,,,
3,2013,7,2013-10-20,21-036,CHI,@,WAS,L 41-45,1,1,3,3.00,0,0,0
4,2013,8,2013-11-04,21-051,CHI,@,GNB,W 27-20,1,0,0,,0,0,0
5,2013,9,2013-11-10,21-057,CHI,,DET,L 19-21,,,,,,,
6,2013,10,2013-11-17,21-064,CHI,,BAL,W 23-20,,,,,,,
7,2013,11,2013-11-24,21-071,CHI,@,STL,L 21-42,,,,,,,
8,2013,12,2013-12-01,21-078,CHI,@,MIN,L 20-23,,,,,,,
9,2013,13,2013-12-09,21-086,CHI,,DAL,W 45-28,,,,,,,
10,2013,16,2013-12-29,21-106,CHI,,GNB,L 28-33,1,1,10,10.00,0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts
11,2014,10,2014-11-16,22-063,CHI,,MIN,W 21-13,4,2,11,5.50,0,0,0
12,2014,11,2014-11-23,22-070,CHI,,TAM,W 21-13,3,1,10,10.00,0,0,0
13,2014,12,2014-11-27,22-074,CHI,@,DET,L 17-34,2,0,0,,0,0,0
14,2014,13,2014-12-04,22-081,CHI,,DAL,L 28-41,5,2,19,9.50,0,0,0
15,2014,14,2014-12-15,22-092,CHI,,NOR,L 15-31,5,3,16,5.33,1,1,6
16,2014,15,2014-12-21,22-098,CHI,,DET,L 14-20,10,7,66,9.43,0,0,0
17,2014,16,2014-12-28,22-105,CHI,@,MIN,L 9-13,3,2,18,9.00,0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts
18,2015,1,2015-09-13,22-364,CHI,,GNB,L 23-31,2,2,59,29.50,0,0,0
19,2015,2,2015-09-20,23-006,CHI,,ARI,L 23-48,5,1,10,10.00,0,0,0
20,2015,3,2015-09-27,23-013,CHI,@,SEA,L 0-26,2,0,0,,0,0,0
21,2015,4,2015-10-04,23-020,CHI,,OAK,W 22-20,9,6,80,13.33,0,0,0
22,2015,5,2015-10-11,23-027,CHI,@,KAN,W 18-17,8,6,85,14.17,1,1,6
23,2015,6,2015-10-18,23-034,CHI,@,DET,L 34-37,4,2,54,27.00,0,0,0
24,2015,7,2015-11-01,23-048,CHI,,MIN,L 20-23,3,1,14,14.00,0,0,0
25,2015,8,2015-11-09,23-056,CHI,@,SDG,W 22-19,3,1,15,15.00,0,0,0
26,2015,9,2015-11-15,23-062,CHI,@,STL,W 37-13,3,1,1,1.00,0,0,0
27,2015,10,2015-11-22,23-069,CHI,,DEN,L 15-17,7,4,102,25.50,0,0,0
28,2015,11,2015-11-26,23-073,CHI,@,GNB,W 17-13,5,4,44,11.00,0,0,0
,,,28 Games,,,,,11-17-0,86,47,617,13.13,2,2,12
