
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,2012,13,2012-12-09,23-191,TEN,@,IND,L 23-27,,1,11,11.00,0,0,0
2,2012,14,2012-12-17,23-199,TEN,,NYJ,W 14-10,3,2,31,15.50,0,0,0
3,2012,15,2012-12-23,23-205,TEN,@,GNB,L 7-55,3,2,17,8.50,0,0,0
4,2012,16,2012-12-30,23-212,TEN,,JAX,W 38-20,,,,,,,
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts
5,2013,2,2013-09-15,24-106,TEN,@,HOU,L 24-30,,,,,,,
6,2013,3,2013-09-22,24-113,TEN,,SDG,W 20-17,1,1,4,4.00,0,0,0
7,2013,4,2013-09-29,24-120,TEN,,NYJ,W 38-13,,,,,,,
8,2013,6,2013-10-13,24-134,TEN,@,SEA,L 13-20,,,,,,,
9,2013,13,2013-12-08,24-190,TEN,@,DEN,L 28-51,1,1,6,6.00,0,0,0
10,2013,14,2013-12-15,24-197,TEN,,ARI,L 34-37,5,3,27,9.00,2,2,12
11,2013,15,2013-12-22,24-204,TEN,@,JAX,W 20-16,,,,,,,
,,,11 Games,,,,,5-6-0,13,10,96,9.60,2,2,12
