
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts
1,2011,1,2011-09-11,23-311,SDG,,MIN,W 24-17,2,2,21,10.50,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,5,38,7.60,0,0,0
2,2011,2,2011-09-18,23-318,SDG,@,NWE,L 21-35,2,1,6,6.00,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,1,-2,-2.00,0,0,0
3,2011,3,2011-09-25,23-325,SDG,,KAN,W 20-17,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,2,9,4.50,0,0,0
4,2011,8,2011-11-06,24-002,SDG,,GNB,L 38-45,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts
5,2013,6,2013-10-13,25-343,SEA,,TEN,W 20-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2013,7,2013-10-17,25-347,SEA,@,ARI,W 34-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2013,9,2013-11-03,25-364,SEA,,TAM,W 27-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2013,16,2013-12-29,26-055,SEA,,STL,W 27-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts
9,2014,1,2014-09-04,26-304,SEA,,GNB,W 36-16,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,0,0
10,2014,2,2014-09-14,26-314,SEA,@,SDG,L 21-30,2,2,17,8.50,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,0,0
11,2014,3,2014-09-21,26-321,SEA,,DEN,W 26-20,5,2,22,11.00,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,5,36,7.20,0,0,0
12,2014,4,2014-10-06,26-336,SEA,@,WAS,W 27-17,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,5,54,10.80,0,0,0
13,2014,5,2014-10-12,26-342,SEA,,DAL,L 23-30,3,1,5,5.00,0,1,-2,-2.00,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,0,0
14,2014,6,2014-10-19,26-349,SEA,@,STL,L 26-28,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,2,43,21.50,0,2,19,9.50,0,0,0
15,2014,9,2014-11-09,27-005,SEA,,NYG,W 38-17,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,2,1,0.50,0,0,0
16,2014,10,2014-11-16,27-012,SEA,@,KAN,L 20-24,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,1,10,10.00,0,0,0
17,2014,11,2014-11-23,27-019,SEA,,ARI,W 19-3,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,2,32,16.00,0,0,0
