
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Sk,Tkl,Ast
1,2014,13,2014-12-07,25-062,SEA,@,PHI,W 24-14,0,0,0,,0,0.0,1,0
2,2014,14,2014-12-14,25-069,SEA,,SFO,W 17-7,,,,,,,,
3,2014,16,2014-12-28,25-083,SEA,,STL,W 20-6,,,,,,,,
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Sk,Tkl,Ast
4,2015,1,2015-09-13,25-342,SEA,@,STL,L 31-34,1,1,8,8.00,0,0.0,0,0
5,2015,2,2015-09-20,25-349,SEA,@,GNB,L 17-27,2,1,13,13.00,0,0.0,0,0
6,2015,3,2015-09-27,25-356,SEA,,CHI,W 26-0,1,0,0,,0,0.0,0,0
7,2015,4,2015-10-05,25-364,SEA,,DET,W 13-10,1,1,21,21.00,0,0.0,0,0
8,2015,5,2015-10-11,26-005,SEA,@,CIN,L 24-27,0,0,0,,0,0.0,0,0
9,2015,6,2015-10-18,26-012,SEA,,CAR,L 23-27,1,1,12,12.00,0,0.0,0,0
10,2015,7,2015-10-22,26-016,SEA,@,SFO,W 20-3,0,0,0,,0,0.0,0,0
11,2015,8,2015-11-01,26-026,SEA,@,DAL,W 13-12,1,0,0,,0,0.0,0,0
12,2015,9,2015-11-15,26-040,SEA,,ARI,L 32-39,2,0,0,,0,0.0,0,0
,,,12 Games,,,,,7-5-0,9,4,54,13.50,0,0.0,1,0
