
,,,,,,,,,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Sk,Tkl,Ast
1,2013,6,2013-10-20,24-040,GNB,,CLE,W 31-13,,,
2,2013,7,2013-10-27,24-047,GNB,@,MIN,W 44-31,0.0,1,0
3,2013,14,2013-12-15,24-096,GNB,@,DAL,W 37-36,,,
4,2013,15,2013-12-22,24-103,GNB,,PIT,L 31-38,,,
,,,4 Games,,,,,3-1-0,0.0,1,0
