
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Sk,Tkl,Ast
1,2011,4,2011-10-02,24-007,OAK,,NWE,L 19-31,,0,0,,0,0,0,,0,0.0,0,0
2,2011,5,2011-10-09,24-014,OAK,@,HOU,W 25-20,0,0,0,,0,0,0,,0,0.0,0,0
3,2011,6,2011-10-16,24-021,OAK,,CLE,W 24-17,1,1,4,4.00,0,1,-2,-2.00,0,0.0,0,0
4,2011,7,2011-10-23,24-028,OAK,,KAN,L 0-28,0,0,0,,0,0,0,,0,0.0,0,0
5,2011,9,2011-11-10,24-046,OAK,@,SDG,W 24-17,0,0,0,,0,0,0,,0,0.0,0,0
6,2011,10,2011-11-20,24-056,OAK,@,MIN,W 27-21,0,0,0,,0,0,0,,0,0.0,0,0
7,2011,11,2011-11-27,24-063,OAK,,CHI,W 25-20,,,,,,,,,,,,
8,2011,12,2011-12-04,24-070,OAK,@,MIA,L 14-34,,0,0,,0,0,0,,0,0.0,0,0
9,2011,13,2011-12-11,24-077,OAK,@,GNB,L 16-46,0,,,,,,,,,,,
10,2011,14,2011-12-18,24-084,OAK,,DET,L 27-28,,,,,,,,,,,,
11,2011,15,2011-12-24,24-090,OAK,@,KAN,W 16-13,,,,,,,,,,,,
12,2011,16,2012-01-01,24-098,OAK,,SDG,L 26-38,1,1,10,10.00,0,0,0,,0,0.0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Sk,Tkl,Ast
13,2012,1,2012-09-10,24-351,OAK,,SDG,L 14-22,1,1,12,12.00,0,0,0,,0,0.0,0,0
14,2012,2,2012-09-16,24-357,OAK,@,MIA,L 13-35,3,1,31,31.00,0,0,0,,0,0.0,0,0
15,2012,3,2012-09-23,24-364,OAK,,PIT,W 34-31,1,1,13,13.00,0,0,0,,0,0.0,0,0
16,2012,4,2012-09-30,25-005,OAK,@,DEN,L 6-37,2,1,9,9.00,0,0,0,,0,0.0,0,0
17,2012,5,2012-10-14,25-019,OAK,@,ATL,L 20-23,2,1,12,12.00,0,0,0,,0,0.0,0,0
18,2012,6,2012-10-21,25-026,OAK,,JAX,W 26-23,0,0,0,,0,0,0,,0,0.0,0,0
19,2012,7,2012-10-28,25-033,OAK,@,KAN,W 26-16,,,,,,,,,,,,
20,2012,8,2012-11-04,25-040,OAK,,TAM,L 32-42,0,0,0,,0,0,0,,0,0.0,0,0
21,2012,9,2012-11-11,25-047,OAK,@,BAL,L 20-55,2,2,15,7.50,0,0,0,,0,0.0,0,0
22,2012,10,2012-11-18,25-054,OAK,,NOR,L 17-38,,,,,,,,,,,,
23,2012,11,2012-11-25,25-061,OAK,@,CIN,L 10-34,0,0,0,,0,0,0,,0,0.0,0,0
24,2012,12,2012-12-02,25-068,OAK,,CLE,L 17-20,,,,,,,,,,,,
25,2012,13,2012-12-06,25-072,OAK,,DEN,L 13-26,1,0,0,,0,0,0,,0,0.0,0,0
26,2012,14,2012-12-16,25-082,OAK,,KAN,W 15-0,,,,,,,,,,,,
27,2012,15,2012-12-23,25-089,OAK,@,CAR,L 6-17,,,,,,,,,,,,
28,2012,16,2012-12-30,25-096,OAK,@,SDG,L 21-24,0,0,0,,0,0,0,,0,0.0,0,1
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Sk,Tkl,Ast
29,2014,1,2014-09-07,26-347,OAK,@,NYJ,L 14-19,,,,,,,,,,,,
30,2014,2,2014-09-14,26-354,OAK,,HOU,L 14-30,,,,,,,,,,,,
31,2014,3,2014-09-21,26-361,OAK,@,NWE,L 9-16,,,,,,,,,,,,
32,2014,4,2014-09-28,27-003,OAK,,MIA,L 14-38,4,2,14,7.00,0,0,0,,0,0.0,0,0
33,2014,5,2014-10-12,27-017,OAK,,SDG,L 28-31,,,,,,,,,,,,
34,2014,6,2014-10-19,27-024,OAK,,ARI,L 13-24,,,,,,,,,,,,
,,,34 Games,,,,,10-24-0,18,11,120,10.91,0,1,-2,-2.00,0,0.0,0,1
