
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Sk,Tkl,Ast
1,2011,3,2011-09-25,22-061,CIN,,SFO,L 8-13,,,,,,,,
2,2011,14,2011-12-18,22-145,CIN,@,STL,W 20-13,1,1,7,7.00,0,0.0,0,0
3,2011,15,2011-12-24,22-151,CIN,,ARI,W 23-16,3,3,20,6.67,0,0.0,0,0
4,2011,16,2012-01-01,22-159,CIN,,BAL,L 16-24,1,0,0,,0,0.0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Sk,Tkl,Ast
5,2012,7,2012-10-21,23-087,CIN,,PIT,L 17-24,7,4,31,7.75,0,0.0,0,0
6,2012,9,2012-11-11,23-108,CIN,,NYG,W 31-13,,,,,,,,
7,2012,10,2012-11-18,23-115,CIN,@,KAN,W 28-6,1,1,6,6.00,0,0.0,0,0
8,2012,11,2012-11-25,23-122,CIN,,OAK,W 34-10,0,0,0,,0,0.0,0,0
9,2012,12,2012-12-02,23-129,CIN,@,SDG,W 20-13,1,1,10,10.00,0,0.0,0,0
10,2012,13,2012-12-09,23-136,CIN,,DAL,L 19-20,,,,,,,,
11,2012,14,2012-12-13,23-140,CIN,@,PHI,W 34-13,0,0,0,,0,0.0,0,0
12,2012,15,2012-12-23,23-150,CIN,@,PIT,W 13-10,2,1,6,6.00,0,0.0,0,0
13,2012,16,2012-12-30,23-157,CIN,,BAL,W 23-17,1,0,0,,0,0.0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Sk,Tkl,Ast
14,2013,2,2013-09-16,24-052,CIN,,PIT,W 20-10,0,0,0,,0,0.0,1,0
15,2013,4,2013-09-29,24-065,CIN,@,CLE,L 6-17,,,,,,,,
16,2013,9,2013-10-31,24-097,CIN,@,MIA,L 20-22,,,,,,,,
17,2013,10,2013-11-10,24-107,CIN,@,BAL,L 17-20,,,,,,,,
,,,17 Games,,,,,10-7-0,17,11,80,7.27,0,0.0,1,0
