
,,,,,,,,,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Sk,Tkl,Ast
1,2013,15,2013-12-22,24-196,NYG,@,DET,W 23-20,,,
2,2013,16,2013-12-29,24-203,NYG,,WAS,W 20-6,0.0,2,0
,,,,,,,,,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Sk,Tkl,Ast
3,2014,3,2014-09-21,25-104,NYG,,HOU,W 30-17,,,
4,2014,4,2014-09-25,25-108,NYG,@,WAS,W 45-14,,,
,,,4 Games,,,,,4-0-0,0.0,2,0
