
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts
1,2014,6,2014-10-12,23-260,BAL,@,TAM,W 48-17,2,2,28,14.00,1,0,0,,0,0,0,,0,0,0,,0,1,6
2,2014,7,2014-10-19,23-267,BAL,,ATL,W 29-7,1,1,17,17.00,0,0,0,,0,0,0,,0,0,0,,0,0,0
3,2014,8,2014-10-26,23-274,BAL,@,CIN,L 24-27,3,3,40,13.33,0,0,0,,0,0,0,,0,2,17,8.50,0,0,0
4,2014,16,2014-12-28,23-337,BAL,,CLE,W 20-10,3,1,17,17.00,0,0,0,,0,0,0,,0,0,0,,0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts
5,2015,1,2015-09-13,24-231,BAL,@,DEN,L 13-19,2,1,8,8.00,0,0,0,,0,0,0,,0,0,0,,0,0,0
6,2015,2,2015-09-20,24-238,BAL,@,OAK,L 33-37,0,0,0,,0,0,0,,0,1,29,29.00,0,0,0,,0,0,0
7,2015,3,2015-09-27,24-245,BAL,,CIN,L 24-28,2,2,11,5.50,0,1,8,8.00,0,1,26,26.00,0,2,35,17.50,0,0,0
8,2015,4,2015-10-01,24-249,BAL,@,PIT,W 23-20,2,2,16,8.00,0,1,9,9.00,1,1,24,24.00,0,1,14,14.00,0,1,6
,,,8 Games,,,,,4-4-0,15,12,137,11.42,1,2,17,8.50,1,3,79,26.33,0,5,66,13.20,0,2,12
