
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD
1,2015,1,2015-09-13,23-100,HOU,,KAN,L 20-27,3,2,23,11.50,0,0,0,,0,4,14,3.50,0
2,2015,2,2015-09-20,23-107,HOU,@,CAR,L 17-24,2,0,0,,0,0,0,,0,6,58,9.67,0
3,2015,3,2015-09-27,23-114,HOU,,TAM,W 19-9,0,0,0,,0,0,0,,0,0,0,,0
4,2015,4,2015-10-04,23-121,HOU,@,ATL,L 21-48,7,4,56,14.00,0,3,70,23.33,0,0,0,,0
5,2015,5,2015-10-08,23-125,HOU,,IND,L 20-27,8,4,23,5.75,0,0,0,,0,2,11,5.50,0
6,2015,6,2015-10-18,23-135,HOU,@,JAX,W 31-20,4,2,8,4.00,0,1,14,14.00,0,2,25,12.50,0
7,2015,7,2015-10-25,23-142,HOU,@,MIA,L 26-44,3,1,16,16.00,0,3,88,29.33,0,2,21,10.50,0
8,2015,8,2015-11-01,23-149,HOU,,TEN,W 20-6,2,1,3,3.00,0,1,29,29.00,0,3,28,9.33,0
9,2015,9,2015-11-16,23-164,HOU,@,CIN,W 10-6,0,0,0,,0,3,64,21.33,0,1,10,10.00,0
10,2015,10,2015-11-22,23-170,HOU,,NYJ,W 24-17,0,0,0,,0,0,0,,0,5,24,4.80,0
11,2015,11,2015-11-29,23-177,HOU,,NOR,W 24-6,0,0,0,,0,2,52,26.00,0,4,31,7.75,0
,,,11 Games,,,,,6-5-0,29,14,129,9.21,0,13,317,24.38,0,29,222,7.66,0
