
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Sk,Tkl,Ast
1,2010,1,2010-09-12,24-075,ARI,@,STL,W 17-13,2,0,0,,0,0,0,,0,0.0,1,0
2,2010,2,2010-09-19,24-082,ARI,@,ATL,L 7-41,6,2,26,13.00,0,0,0,,0,0.0,0,0
3,2010,3,2010-09-26,24-089,ARI,,OAK,W 24-23,2,1,11,11.00,0,0,0,,0,0.0,0,0
4,2010,4,2010-10-03,24-096,ARI,@,SDG,L 10-41,8,3,32,10.67,0,0,0,,0,0.0,0,0
5,2010,5,2010-10-10,24-103,ARI,,NOR,W 30-20,2,1,6,6.00,0,0,0,,0,0.0,0,0
6,2010,9,2010-11-14,24-138,ARI,,SEA,L 18-36,,,,,,,,,,,,
7,2010,10,2010-11-21,24-145,ARI,@,KAN,L 13-31,,,,,,,,,,,,
8,2010,13,2010-12-12,24-166,ARI,,DEN,W 43-13,,,,,,,,,,,,
9,2010,14,2010-12-19,24-173,ARI,@,CAR,L 12-19,,,,,,,,,,,,
10,2010,15,2010-12-25,24-179,ARI,,DAL,W 27-26,,,,,,,,,,,,
11,2010,16,2011-01-02,24-187,ARI,@,SFO,L 7-38,3,2,26,13.00,0,1,14,14.00,0,0.0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Sk,Tkl,Ast
12,2011,2,2011-09-18,25-081,ARI,@,WAS,L 21-22,,,,,,,,,,,,
13,2011,6,2011-10-23,25-116,ARI,,PIT,L 20-32,,,,,,,,,,,,
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Sk,Tkl,Ast
14,2013,1,2013-09-08,27-071,SEA,@,CAR,W 12-7,1,0,0,,0,0,0,,0,0.0,0,0
15,2013,2,2013-09-15,27-078,SEA,,SFO,W 29-3,,,,,,,,,,,,
16,2013,3,2013-09-22,27-085,SEA,,JAX,W 45-17,,,,,,,,,,,,
17,2013,4,2013-09-29,27-092,SEA,@,HOU,W 23-20,1,0,0,,0,0,0,,0,0.0,0,0
18,2013,6,2013-10-13,27-106,JAX,@,DEN,L 19-35,2,0,0,,0,0,0,,0,0.0,0,0
19,2013,7,2013-10-20,27-113,JAX,,SDG,L 6-24,,,,,,,,,,,,
,,,19 Games,,,,,9-10-0,27,9,101,11.22,0,1,14,14.00,0,0.0,1,0
