
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,2010,2,2010-09-19,22-253,ARI,@,ATL,L 7-41,,,,,,,,,,,,,,,,,,,,,,
2,2010,3,2010-09-26,22-260,ARI,,OAK,W 24-23,0,0,0,,0,0,0,,0,0,0,,0,2,6,3.00,0,0,0,0.0,0,0
3,2010,4,2010-10-03,22-267,ARI,@,SDG,L 10-41,0,0,0,,0,0,0,,0,0,0,,0,1,19,19.00,0,0,0,0.0,0,0
4,2010,5,2010-10-10,22-274,ARI,,NOR,W 30-20,3,2,27,13.50,0,0,0,,0,0,0,,0,2,4,2.00,0,0,0,0.0,0,0
5,2010,6,2010-10-24,22-288,ARI,@,SEA,L 10-22,4,2,40,20.00,0,0,0,,0,0,0,,0,4,37,9.25,0,0,0,0.0,0,0
6,2010,7,2010-10-31,22-295,ARI,,TAM,L 35-38,0,0,0,,0,0,0,,0,0,0,,0,3,22,7.33,0,0,0,0.0,0,0
7,2010,8,2010-11-07,22-302,ARI,@,MIN,L 24-27,2,2,29,14.50,1,0,0,,0,0,0,,0,1,7,7.00,0,1,6,0.0,0,0
8,2010,9,2010-11-14,22-309,ARI,,SEA,L 18-36,1,0,0,,0,0,0,,0,0,0,,0,1,11,11.00,0,0,0,0.0,0,0
9,2010,10,2010-11-21,22-316,ARI,@,KAN,L 13-31,11,6,52,8.67,0,0,0,,0,2,41,20.50,0,2,11,5.50,0,0,0,0.0,0,0
10,2010,11,2010-11-29,22-324,ARI,,SFO,L 6-27,2,2,21,10.50,0,0,0,,0,0,0,,0,2,5,2.50,0,0,0,0.0,0,0
11,2010,12,2010-12-05,22-330,ARI,,STL,L 6-19,2,0,0,,0,0,0,,0,0,0,,0,3,18,6.00,0,0,0,0.0,0,0
12,2010,13,2010-12-12,22-337,ARI,,DEN,W 43-13,2,1,5,5.00,0,0,0,,0,0,0,,0,5,72,14.40,0,0,0,0.0,0,0
13,2010,14,2010-12-19,22-344,ARI,@,CAR,L 12-19,2,0,0,,0,0,0,,0,2,72,36.00,0,2,9,4.50,0,0,0,0.0,0,0
14,2010,15,2010-12-25,22-350,ARI,,DAL,W 27-26,9,5,110,22.00,1,0,0,,0,5,109,21.80,0,4,25,6.25,0,1,6,0.0,0,0
15,2010,16,2011-01-02,22-358,ARI,@,SFO,L 7-38,11,4,23,5.75,0,0,0,,0,5,104,20.80,0,3,17,5.67,0,0,0,0.0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
16,2011,1,2011-09-11,23-245,ARI,,CAR,W 28-21,4,2,21,10.50,0,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
17,2011,2,2011-09-18,23-252,ARI,@,WAS,L 21-22,7,3,30,10.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
18,2011,3,2011-09-25,23-259,ARI,@,SEA,L 10-13,6,4,38,9.50,0,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,0
19,2011,4,2011-10-02,23-266,ARI,,NYG,L 27-31,0,0,0,,0,0,0,,0,1,21,21.00,0,0,0,,0,0,0,0.0,1,0
20,2011,5,2011-10-09,23-273,ARI,@,MIN,L 10-34,6,3,36,12.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
21,2011,6,2011-10-23,23-287,ARI,,PIT,L 20-32,5,1,8,8.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
22,2011,7,2011-10-30,23-294,ARI,@,BAL,L 27-30,3,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
23,2011,8,2011-11-06,23-301,ARI,,STL,W 19-13,7,5,55,11.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
