
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD
1,2012,1,2012-09-09,22-292,CAR,@,TAM,L 10-16,0,0,,0,0,0,0,,0,1,31,31.00,0,3,28,9.33,0
2,2012,2,2012-09-16,22-299,CAR,,NOR,W 35-27,0,0,,0,0,0,0,,0,3,72,24.00,0,1,14,14.00,0
3,2012,3,2012-09-20,22-303,CAR,,NYG,L 7-36,0,0,,0,0,0,0,,0,5,105,21.00,0,1,0,0.00,0
4,2012,10,2012-11-18,22-362,CAR,,TAM,L 21-27,0,0,,0,0,0,0,,0,0,0,,0,2,27,13.50,0
5,2012,11,2012-11-26,23-004,CAR,@,PHI,W 30-22,0,0,,0,0,0,0,,0,0,0,,0,0,0,,0
6,2012,12,2012-12-02,23-010,CAR,@,KAN,L 21-27,1,5,5.00,0,1,1,7,7.00,0,0,0,,0,1,12,12.00,0
7,2012,13,2012-12-09,23-017,CAR,,ATL,W 30-20,1,3,3.00,0,0,0,0,,0,0,0,,0,0,0,,0
8,2012,14,2012-12-16,23-024,CAR,@,SDG,W 31-7,0,0,,0,0,0,0,,0,0,0,,0,2,32,16.00,0
9,2012,15,2012-12-23,23-031,CAR,,OAK,W 17-6,1,5,5.00,0,0,0,0,,0,0,0,,0,1,14,14.00,0
,,,9 Games,,,,,5-4-0,3,13,4.33,0,1,1,7,7.00,0,9,208,23.11,0,11,127,11.55,0
