
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,2PM,TD,Pts,Sk,Tkl,Ast
1,2013,10,2013-11-17,22-359,WAS,@,PHI,L 16-24,2,1,5,5.00,0,0,0,,0,1,0,0.00,0,1,0,2,0.0,0,0
2,2013,12,2013-12-01,23-008,WAS,,NYG,L 17-24,1,1,6,6.00,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
3,2013,14,2013-12-15,23-022,WAS,@,ATL,L 26-27,2,1,4,4.00,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
4,2013,15,2013-12-22,23-029,WAS,,DAL,L 23-24,0,0,0,,0,4,95,23.75,0,0,0,,0,,0,0,0.0,0,0
5,2013,16,2013-12-29,23-036,WAS,@,NYG,L 6-20,6,0,0,,0,5,93,18.60,0,0,0,,0,,0,0,0.0,2,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,2PM,TD,Pts,Sk,Tkl,Ast
6,2015,1,2015-09-14,24-295,ATL,,PHI,W 26-24,1,1,5,5.00,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
7,2015,2,2015-09-20,24-301,ATL,@,NYG,W 24-20,1,1,12,12.00,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
8,2015,3,2015-09-27,24-308,ATL,@,DAL,W 39-28,1,1,6,6.00,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
9,2015,4,2015-10-04,24-315,ATL,,HOU,W 48-21,1,1,8,8.00,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
10,2015,5,2015-10-11,24-322,ATL,,WAS,W 25-19,4,1,13,13.00,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
11,2015,6,2015-10-15,24-326,ATL,@,NOR,L 21-31,1,1,11,11.00,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
12,2015,7,2015-10-25,24-336,ATL,@,TEN,W 10-7,5,3,43,14.33,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
13,2015,9,2015-11-08,24-350,ATL,@,SFO,L 16-17,1,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
14,2015,11,2015-11-29,25-006,ATL,,MIN,L 10-20,4,3,16,5.33,1,0,0,,0,0,0,,0,,1,6,0.0,0,0
,,,14 Games,,,,,6-8-0,30,15,129,8.60,1,9,188,20.89,0,1,0,0.00,0,1,1,8,0.0,2,0
