
,,,,,,,,,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Sk,Tkl,Ast
1,2014,12,2014-11-30,25-054,JAX,,NYG,W 25-24,,,
2,2014,14,2014-12-14,25-068,JAX,@,BAL,L 12-20,0.0,1,0
,,,2 Games,,,,,1-1-0,0.0,1,0
