
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,TD,Pts
1,2015,4,2015-10-04,21-309,MIN,@,DEN,L 20-23,10,6,87,14.50,0,0,0,,0,0,0
2,2015,5,2015-10-18,21-323,MIN,,KAN,W 16-10,9,7,129,18.43,0,0,0,,0,0,0
3,2015,6,2015-10-25,21-330,MIN,@,DET,W 28-19,9,6,108,18.00,1,1,9,9.00,0,1,6
4,2015,7,2015-11-01,21-337,MIN,@,CHI,W 23-20,12,6,95,15.83,1,0,0,,0,1,6
5,2015,8,2015-11-08,21-344,MIN,,STL,W 21-18,5,3,42,14.00,0,0,0,,0,0,0
6,2015,9,2015-11-15,21-351,MIN,@,OAK,W 30-14,2,2,46,23.00,0,1,10,10.00,0,0,0
7,2015,10,2015-11-22,21-358,MIN,,GNB,L 13-30,9,6,66,11.00,0,0,0,,0,0,0
8,2015,11,2015-11-29,22-000,MIN,@,ATL,W 20-10,4,4,31,7.75,0,0,0,,0,0,0
,,,8 Games,,,,,6-2-0,60,40,604,15.10,2,2,19,9.50,0,,12
