
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts
1,2015,1,2015-09-13,22-251,IND,@,BUF,L 14-27,3,2,45,22.50,0,0,0,,0,0,0,,0,2,1,0.50,0,0,0
2,2015,2,2015-09-21,22-259,IND,,NYJ,L 7-20,6,1,25,25.00,0,0,0,,0,0,0,,0,0,0,,0,0,0
3,2015,3,2015-09-27,22-265,IND,@,TEN,W 35-33,3,2,43,21.50,1,0,0,,0,0,0,,0,0,0,,0,1,6
4,2015,4,2015-10-04,22-272,IND,,JAX,W 16-13,3,2,7,3.50,0,1,4,4.00,0,1,12,12.00,0,0,0,,0,0,0
5,2015,5,2015-10-08,22-276,IND,@,HOU,W 27-20,2,1,9,9.00,0,0,0,,0,0,0,,0,0,0,,0,0,0
6,2015,6,2015-10-18,22-286,IND,,NWE,L 27-34,4,2,30,15.00,0,0,0,,0,0,0,,0,0,0,,0,0,0
7,2015,7,2015-10-25,22-293,IND,,NOR,L 21-27,2,1,8,8.00,0,0,0,,0,0,0,,0,0,0,,0,0,0
,,,7 Games,,,,,3-4-0,23,11,167,15.18,1,1,4,4.00,0,1,12,12.00,0,2,1,0.50,0,,6
