
,,,,,,,,
Rk,Year,G#,Date,Age,Tm,,Opp,Result
1,2015,1,2015-09-13,23-213,SDG,,DET,W 33-28
2,2015,10,2015-11-22,23-283,SDG,,KAN,L 3-33
,,,2 Games,,,,,1-1-0
