
,,,,,,,,,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Sk,Tkl,Ast
1,2013,8,2013-11-03,23-237,MIN,@,DAL,L 23-27,,,
2,2013,9,2013-11-07,23-241,MIN,,WAS,W 34-27,,,
3,2013,10,2013-11-17,23-251,MIN,@,SEA,L 20-41,,,
4,2013,14,2013-12-15,23-279,MIN,,PHI,W 48-30,0.0,0,1
,,,,,,,,,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Sk,Tkl,Ast
5,2014,1,2014-09-07,24-180,MIN,@,STL,W 34-6,,,
6,2014,9,2014-11-06,24-240,CLE,@,CIN,W 24-3,,,
7,2014,14,2014-12-14,24-278,CLE,,CIN,L 0-30,,,
8,2014,16,2014-12-28,24-292,CLE,@,BAL,L 10-20,0.0,1,0
,,,8 Games,,,,,4-4-0,0.0,1,1
