
,,,,,,,,,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD
1,2014,1,2014-09-07,22-273,DEN,,IND,W 31-24,0,0,,0,3,4,1.33,0
2,2014,2,2014-09-14,22-280,DEN,,KAN,W 24-17,0,0,,0,0,0,,0
3,2014,3,2014-09-21,22-287,DEN,@,SEA,L 20-26,0,0,,0,2,15,7.50,0
4,2014,4,2014-10-05,22-301,DEN,,ARI,W 41-20,0,0,,0,6,38,6.33,0
5,2014,5,2014-10-12,22-308,DEN,@,NYJ,W 31-17,0,0,,0,0,0,,0
6,2014,6,2014-10-19,22-315,DEN,,SFO,W 42-17,1,7,7.00,0,3,22,7.33,0
7,2014,7,2014-10-23,22-319,DEN,,SDG,W 35-21,0,0,,0,2,18,9.00,0
8,2014,8,2014-11-02,22-329,DEN,@,NWE,L 21-43,0,0,,0,1,9,9.00,0
9,2014,9,2014-11-09,22-336,DEN,@,OAK,W 41-17,0,0,,0,4,52,13.00,0
10,2014,10,2014-11-16,22-343,DEN,@,STL,L 7-22,0,0,,0,1,0,0.00,0
11,2014,11,2014-11-23,22-350,DEN,,MIA,W 39-36,0,0,,0,3,12,4.00,0
12,2014,12,2014-11-30,22-357,DEN,@,KAN,W 29-16,0,0,,0,4,41,10.25,0
,,,12 Games,,,,,9-3-0,1,7,7.00,0,29,211,7.28,0
