
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Ret,Yds,Y/R,TD,TD,Pts
1,2015,1,2015-09-13,21-088,OAK,,CIN,L 13-33,9,5,47,9.40,0,0,0,,0,0,0,,0,0,0
2,2015,2,2015-09-20,21-095,OAK,,BAL,W 37-33,11,7,109,15.57,1,0,0,,0,0,0,,0,1,6
3,2015,3,2015-09-27,21-102,OAK,@,CLE,W 27-20,11,8,134,16.75,0,0,0,,0,2,0,0.00,0,0,0
4,2015,4,2015-10-04,21-109,OAK,@,CHI,L 20-22,9,4,49,12.25,1,0,0,,0,1,7,7.00,0,1,6
5,2015,5,2015-10-11,21-116,OAK,,DEN,L 10-16,4,4,47,11.75,0,1,2,2.00,0,1,18,18.00,0,0,0
6,2015,6,2015-10-25,21-130,OAK,@,SDG,W 37-29,6,5,133,26.60,1,0,0,,0,0,0,,0,1,6
7,2015,7,2015-11-01,21-137,OAK,,NYJ,W 34-20,9,5,46,9.20,0,1,2,2.00,0,0,0,,0,0,0
8,2015,8,2015-11-08,21-144,OAK,@,PIT,L 35-38,13,7,88,12.57,1,0,0,,0,0,0,,0,1,6
9,2015,9,2015-11-15,21-151,OAK,,MIN,L 14-30,9,5,79,15.80,0,0,0,,0,0,0,,0,0,0
10,2015,10,2015-11-22,21-158,OAK,@,DET,L 13-18,4,1,4,4.00,0,0,0,,0,4,16,4.00,0,0,0
11,2015,11,2015-11-29,21-165,OAK,@,TEN,W 24-21,12,7,115,16.43,0,0,0,,0,0,0,,0,0,0
,,,11 Games,,,,,5-6-0,97,58,851,14.67,4,2,4,2.00,0,8,41,5.13,0,,24
