
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,2PM,TD,Pts,Sk,Tkl,Ast
10,2013,12,2013-12-01,21-235,BUF,,ATL,L 31-34,3,2,39,19.50,0,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
11,2013,13,2013-12-08,21-242,BUF,@,TAM,L 6-27,5,3,20,6.67,0,0,0,,0,1,9,9.00,0,0,0,,0,,0,0,0.0,0,0
12,2013,14,2013-12-15,21-249,BUF,@,JAX,W 27-20,6,5,82,16.40,1,0,0,,0,0,0,,0,0,0,,0,,1,6,0.0,0,0
13,2013,15,2013-12-22,21-256,BUF,,MIA,W 19-0,5,3,70,23.33,0,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
14,2013,16,2013-12-29,21-263,BUF,@,NWE,L 20-34,6,1,27,27.00,0,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,2PM,TD,Pts,Sk,Tkl,Ast
15,2014,1,2014-09-07,22-150,BUF,@,CHI,W 23-20,6,4,78,19.50,0,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
16,2014,2,2014-09-14,22-157,BUF,,MIA,W 29-10,3,1,5,5.00,0,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
17,2014,3,2014-09-21,22-164,BUF,,SDG,L 10-22,8,3,19,6.33,0,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
18,2014,4,2014-09-28,22-171,BUF,@,HOU,L 17-23,12,3,17,5.67,0,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,1,0
19,2014,5,2014-10-05,22-178,BUF,@,DET,W 17-14,4,3,37,12.33,0,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
20,2014,6,2014-10-12,22-185,BUF,,NWE,L 22-37,10,7,78,11.14,1,0,0,,0,0,0,,0,0,0,,0,1,1,8,0.0,0,0
21,2014,7,2014-10-19,22-192,BUF,,MIN,W 17-16,5,4,10,2.50,0,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
22,2014,8,2014-10-26,22-199,BUF,@,NYJ,W 43-23,3,3,50,16.67,1,0,0,,0,0,0,,0,0,0,,0,,1,6,0.0,0,1
23,2014,9,2014-11-09,22-213,BUF,,KAN,L 13-17,8,6,52,8.67,0,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
24,2014,10,2014-11-13,22-217,BUF,@,MIA,L 9-22,5,2,15,7.50,0,0,0,,0,0,0,,0,1,11,11.00,0,,0,0,0.0,0,0
25,2014,11,2014-11-24,22-228,BUF,,NYJ,W 38-3,11,9,118,13.11,1,0,0,,0,0,0,,0,0,0,,0,,1,6,0.0,1,0
26,2014,12,2014-11-30,22-234,BUF,,CLE,W 26-10,7,4,71,17.75,0,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
27,2014,13,2014-12-07,22-241,BUF,@,DEN,L 17-24,4,3,36,12.00,0,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
28,2014,14,2014-12-14,22-248,BUF,,GNB,W 21-13,5,2,22,11.00,0,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
29,2014,15,2014-12-21,22-255,BUF,@,OAK,L 24-26,9,7,52,7.43,1,0,0,,0,0,0,,0,0,0,,0,,1,6,0.0,0,0
30,2014,16,2014-12-28,22-262,BUF,@,NWE,W 17-9,4,4,39,9.75,1,0,0,,0,0,0,,0,0,0,,0,,1,6,0.0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,2PM,TD,Pts,Sk,Tkl,Ast
31,2015,1,2015-09-13,23-156,BUF,,IND,W 27-14,2,2,27,13.50,0,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
32,2015,2,2015-09-20,23-163,BUF,,NWE,L 32-40,3,3,60,20.00,1,0,0,,0,0,0,,0,0,0,,0,,1,6,0.0,0,0
33,2015,3,2015-09-27,23-170,BUF,@,MIA,W 41-14,5,4,38,9.50,0,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
34,2015,4,2015-10-04,23-177,BUF,,NYG,L 10-24,5,3,33,11.00,0,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
35,2015,5,2015-10-11,23-184,BUF,@,TEN,W 14-13,2,1,6,6.00,0,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
36,2015,6,2015-10-18,23-191,BUF,,CIN,L 21-34,6,4,47,11.75,0,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
37,2015,7,2015-10-25,23-198,BUF,@,JAX,L 31-34,13,9,84,9.33,1,0,0,,0,0,0,,0,0,0,,0,,1,6,0.0,0,0
38,2015,8,2015-11-08,23-212,BUF,,MIA,W 33-17,1,0,0,,0,1,0,0.00,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
39,2015,9,2015-11-12,23-216,BUF,@,NYJ,W 22-17,7,3,19,6.33,0,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
40,2015,10,2015-11-23,23-227,BUF,@,NWE,L 13-20,9,4,44,11.00,0,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
41,2015,11,2015-11-29,23-233,BUF,@,KAN,L 22-30,9,3,25,8.33,0,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
,,,41 Games,,,,,19-22-0,251,141,1669,11.84,10,3,16,5.33,0,1,9,9.00,0,1,11,11.00,0,2,10,64,0.0,5,2
