
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD
1,2013,15,2013-12-22,23-243,JAX,,TEN,L 16-20,1,1,13,13.00,0
2,2013,16,2013-12-29,23-250,JAX,@,IND,L 10-30,2,1,18,18.00,0
,,,2 Games,,,,,0-2-0,3,2,31,15.50,0
