
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Ret,Yds,Y/R,TD
1,2012,9,2012-11-12,23-337,PIT,,KAN,W 16-13,0,0,,0,2,8,4.00,0
2,2012,10,2012-11-18,23-343,PIT,,BAL,L 10-13,1,7,7.00,0,0,0,,0
3,2012,11,2012-11-25,23-350,PIT,@,CLE,L 14-20,0,0,,0,0,0,,0
,,,3 Games,,,,,1-2-0,1,7,7.00,0,2,8,4.00,0
