
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,2PM,TD,Pts,Sk,Tkl,Ast
10,2009,15,2009-12-27,23-219,NWE,,JAX,W 35-7,2,1,28,28.00,0,0,0,,0,1,16,16.00,0,0,0,,0,,0,0,0.0,0,0
11,2009,16,2010-01-03,23-226,NWE,@,HOU,L 27-34,15,10,103,10.30,0,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,2PM,TD,Pts,Sk,Tkl,Ast
12,2010,2,2010-09-19,24-120,NWE,@,NYJ,L 14-28,2,1,6,6.00,0,0,0,,0,0,0,,0,2,26,13.00,0,,0,0,0.0,0,0
13,2010,3,2010-09-26,24-127,NWE,,BUF,W 38-30,3,3,8,2.67,0,1,1,1.00,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
14,2010,4,2010-10-04,24-135,NWE,@,MIA,W 41-14,,,,,,,,,,,,,,,,,,,,,,,
15,2010,5,2010-10-17,24-148,NWE,,BAL,W 23-20,1,0,0,,0,0,0,,0,0,0,,0,2,16,8.00,0,,0,0,0.0,0,0
16,2010,6,2010-10-24,24-155,NWE,@,SDG,W 23-20,0,0,0,,0,0,0,,0,0,0,,0,2,37,18.50,0,,0,0,0.0,0,0
17,2010,7,2010-10-31,24-162,NWE,,MIN,W 28-18,0,0,0,,0,0,0,,0,0,0,,0,1,4,4.00,0,,0,0,0.0,0,0
18,2010,8,2010-11-07,24-169,NWE,@,CLE,L 14-34,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,1,0
19,2010,9,2010-11-14,24-176,NWE,@,PIT,W 39-26,0,0,0,,0,0,0,,0,0,0,,0,1,12,12.00,0,,0,0,0.0,0,0
20,2010,10,2010-11-21,24-183,NWE,,IND,W 31-28,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
21,2010,11,2010-11-25,24-187,NWE,@,DET,W 45-24,0,0,0,,0,0,0,,0,0,0,,0,3,47,15.67,0,,0,0,0.0,0,0
