
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD
1,2014,16,2014-12-28,22-211,NYJ,@,MIA,W 37-24,,,,,
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD
2,2015,1,2015-09-13,23-105,NYJ,,CLE,W 31-10,0,0,0,,0
3,2015,2,2015-09-21,23-113,NYJ,@,IND,W 20-7,3,1,27,27.00,0
4,2015,3,2015-09-27,23-119,NYJ,,PHI,L 17-24,10,5,50,10.00,0
5,2015,4,2015-10-04,23-126,NYJ,@,MIA,W 27-14,1,0,0,,0
6,2015,5,2015-10-18,23-140,NYJ,,WAS,W 34-20,3,2,17,8.50,0
7,2015,10,2015-11-22,23-175,NYJ,@,HOU,L 17-24,4,2,22,11.00,0
8,2015,11,2015-11-29,23-182,NYJ,,MIA,W 38-20,6,2,29,14.50,0
,,,8 Games,,,,,6-2-0,27,12,145,12.08,0
