
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,TD,Pts,Sk,Tkl,Ast
30,2011,14,2011-12-17,24-213,TAM,,DAL,L 15-31,0,,,,,,,,,,,,,,,,,,,,,,
31,2011,15,2011-12-24,24-220,TAM,@,CAR,L 16-48,8,4,39,9.75,0,0,0,,0,0,0,,0,0,0,,,,0,0,0.0,0,0
32,2011,16,2012-01-01,24-228,TAM,@,ATL,L 24-45,2,1,31,31.00,0,0,0,,0,0,0,,0,0,0,,,,0,0,0.0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,TD,Pts,Sk,Tkl,Ast
33,2012,1,2012-09-09,25-114,TAM,,CAR,W 16-10,3,2,12,6.00,1,0,0,,0,0,0,,0,0,0,,,,1,6,0.0,0,0
34,2012,2,2012-09-16,25-121,TAM,@,NYG,L 34-41,5,3,59,19.67,1,0,0,,0,0,0,,0,0,0,,,,1,6,0.0,0,0
35,2012,3,2012-09-23,25-128,TAM,@,DAL,L 10-16,6,2,33,16.50,0,0,0,,0,0,0,,0,0,0,,,,0,0,0.0,0,0
36,2012,4,2012-09-30,25-135,TAM,,WAS,L 22-24,8,4,115,28.75,0,0,0,,0,0,0,,0,0,0,,,,0,0,0.0,0,0
37,2012,5,2012-10-14,25-149,TAM,,KAN,W 38-10,6,4,113,28.25,1,0,0,,0,0,0,,0,0,0,,,,1,6,0.0,0,0
38,2012,6,2012-10-21,25-156,TAM,,NOR,L 28-35,8,4,36,9.00,0,0,0,,0,0,0,,0,0,0,,,,0,0,0.0,0,0
39,2012,7,2012-10-25,25-160,TAM,@,MIN,W 36-17,11,6,68,11.33,1,0,0,,0,0,0,,0,0,0,,,,1,6,0.0,0,0
40,2012,8,2012-11-04,25-170,TAM,@,OAK,W 42-32,8,4,68,17.00,1,0,0,,0,0,0,,0,0,0,,,,1,6,0.0,0,0
41,2012,9,2012-11-11,25-177,TAM,,SDG,W 34-24,4,2,64,32.00,0,0,0,,0,0,0,,0,0,0,,,,0,0,0.0,0,0
42,2012,10,2012-11-18,25-184,TAM,@,CAR,W 27-21,9,3,29,9.67,0,0,0,,0,0,0,,0,0,0,,,,0,0,0.0,0,0
43,2012,11,2012-11-25,25-191,TAM,,ATL,L 23-24,5,3,28,9.33,0,0,0,,0,1,1,100.00,28,0,0,118.7,28.00,28.00,0,0,0.0,0,0
44,2012,12,2012-12-02,25-198,TAM,@,DEN,L 23-31,12,6,93,15.50,1,0,0,,0,0,0,,0,0,0,,,,1,6,0.0,0,0
45,2012,13,2012-12-09,25-205,TAM,,PHI,L 21-23,7,3,18,6.00,1,0,0,,0,0,0,,0,0,0,,,,1,6,0.0,0,0
46,2012,14,2012-12-16,25-212,TAM,@,NOR,L 0-41,7,4,63,15.75,0,0,0,,0,0,0,,0,0,0,,,,0,0,0.0,0,0
47,2012,15,2012-12-23,25-219,TAM,,STL,L 13-28,17,7,132,18.86,1,0,0,,0,0,0,,0,0,0,,,,1,6,0.0,0,0
48,2012,16,2012-12-30,25-226,TAM,@,ATL,W 22-17,10,6,65,10.83,1,0,0,,0,0,0,,0,0,0,,,,1,6,0.0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,TD,Pts,Sk,Tkl,Ast
49,2013,1,2013-09-08,26-113,TAM,@,NYJ,L 17-18,8,4,52,13.00,1,0,0,,0,0,0,,0,0,0,,,,1,6,0.0,0,0
50,2013,2,2013-09-15,26-120,TAM,,NOR,L 14-16,6,2,9,4.50,0,0,0,,0,0,0,,0,0,0,,,,0,0,0.0,0,0
51,2013,3,2013-09-22,26-127,TAM,@,NWE,L 3-23,9,5,65,13.00,0,0,0,,0,0,0,,0,0,0,,,,0,0,0.0,0,0
