
,,,,,,,,
Rk,Year,G#,Date,Age,Tm,,Opp,Result
1,2014,2,2014-09-14,24-336,CLE,,NOR,W 26-24
2,2014,15,2014-12-21,25-069,MIA,,MIN,W 37-35
3,2014,16,2014-12-28,25-076,MIA,,NYJ,L 24-37
,,,3 Games,,,,,2-1-0
