
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD
1,2012,1,2012-09-09,24-007,KAN,,ATL,L 24-40,,,,,,,,,,,,,
2,2012,9,2012-11-12,24-071,KAN,@,PIT,L 13-16,0,0,0,,0,3,68,22.67,0,0,0,,0
3,2012,10,2012-11-18,24-077,KAN,,CIN,L 6-28,2,0,0,,0,0,0,,0,0,0,,0
4,2012,14,2012-12-16,24-105,KAN,@,OAK,L 0-15,2,1,6,6.00,0,0,0,,0,1,13,13.00,0
5,2012,15,2012-12-23,24-112,KAN,,IND,L 13-20,4,3,36,12.00,0,3,54,18.00,0,3,2,0.67,0
6,2012,16,2012-12-30,24-119,KAN,@,DEN,L 3-38,4,2,11,5.50,0,3,69,23.00,0,1,11,11.00,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD
7,2013,10,2013-11-14,25-073,TEN,,IND,L 27-30,0,0,0,,0,3,63,21.00,0,1,4,4.00,0
8,2013,11,2013-11-24,25-083,TEN,@,OAK,W 23-19,0,0,0,,0,2,31,15.50,0,1,0,0.00,0
,,,8 Games,,,,,1-7-0,12,6,53,8.83,0,14,285,20.36,0,7,30,4.29,0
