
,,,,,,,,
Rk,Year,G#,Date,Age,Tm,,Opp,Result
1,2014,12,2014-11-30,25-274,NYG,@,JAX,L 24-25
2,2014,13,2014-12-07,25-281,NYG,@,TEN,W 36-7
3,2014,14,2014-12-14,25-288,NYG,,WAS,W 24-13
4,2014,15,2014-12-21,25-295,NYG,@,STL,W 37-27
5,2014,16,2014-12-28,25-302,NYG,,PHI,L 26-34
,,,5 Games,,,,,3-2-0
